participant,condition,trial,reaction_time,correct
P01,A,1,0.621,True
P01,A,2,0.544,True
P01,B,3,0.702,False
P01,B,4,0.655,True
P02,A,1,0.588,True
P02,A,2,0.603,True
P02,B,3,0.681,True
P02,B,4,,False
P03,A,1,0.744,True
P03,A,2,0.711,False
P03,B,3,0.802,True
P03,B,4,0.779,True
P04,A,1,0.512,True
P04,A,2,0.531,True
P04,B,3,0.590,True
P04,B,4,0.612,True
P05,A,1,0.690,False
P05,A,2,0.648,True
P05,B,3,0.735,True
P05,B,4,0.716,True
P06,A,1,0.573,True
P06,A,2,,False
P06,B,3,0.641,True
P06,B,4,0.668,True
